watershed_group_code,watershed_general,aggregated_crossings_id,modelled_crossing_id,stream_crossing_id,barrier_status,pscis_status,pscis_road_name,rail_track_name,rail_operator_english_name,pscis_stream_name,gnis_stream_name,stream_order,stream_order_parent,rail_barriers_dnstr,rail_barriers_dnstr_count,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_upstr_count,barriers_anthropogenic_upstr_accessible_count,barriers_anthropogenic_upstr_spawningrearing_count,barriers_anthropogenic_upstr_spawningrearing_rail_count,barriers_ch_cm_co_pk_sk_dnstr,ch_cm_co_pk_sk_network_km,barriers_st_dnstr,st_network_km,ch_spawning_km,ch_rearing_km,cm_spawning_km,co_spawning_km,co_rearing_km,pk_spawning_km,sk_spawning_km,sk_rearing_km,st_spawning_km,st_rearing_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,ch_cm_co_pk_sk_network_km_dnstr,st_network_km_dnstr,ch_spawning_km_dnstr,ch_rearing_km_dnstr,cm_spawning_km_dnstr,co_spawning_km_dnstr,co_rearing_km_dnstr,pk_spawning_km_dnstr,sk_spawning_km_dnstr,sk_rearing_km_dnstr,st_spawning_km_dnstr,st_rearing_km_dnstr,all_spawningrearing_km_dnstr
LFRA,FRASER,1010305130,10305130,,POTENTIAL,,,Marpole,Canadian Pacific,,,1,,,,1,4,4,2,0,{},0.19,{},0.95,0,0,0.19,0,0,0,0,0,0,0.19,0.19,0.02,0.24,0.24,0,0,0.24,0,0,0,0,0,0,0.24,0.24
LFRA,FRASER,1010305132,10305132,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,10,,,,2,2,0,0,{},0.33,{},0.33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
LFRA,FRASER,1010305133,10305133,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,10,,,1,2,2,0,0,{},0.3,{},0.59,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0
LFRA,FRASER,1010305135,10305135,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,1,,,,2,2,0,0,{},0.19,{},0.32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
LFRA,FRASER,1010305136,10305136,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,2,,,1,3,3,0,0,{},0.34,{},0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
LFRA,FRASER,1010305137,10305137,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,2,,,,,0,0,0,{},0.29,{},0.4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
LFRA,FRASER,1010305138,10305138,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,2,2,,,,2,2,2,0,{},1.56,{},1.58,0,0,1.45,0,0,0,0,0,0,0,1.45,0.28,,,,,,,,,,,,,
LFRA,FRASER,1010305141,10305141,,POTENTIAL,,,None,Canadian National,,Stoney Creek,1,3,,,1,4,4,4,0,{},3.35,{},3.35,0,0,2.89,2.77,2.79,0,0,0,0,2.57,2.91,0.11,6.22,6.22,5.81,5.81,6.21,6.07,6.17,5.81,0,0,5.81,6.22,6.2
LFRA,FRASER,1010305142,10305142,,POTENTIAL,,,Millennium Line,British Columbia Rapid Transit Company Ltd,,,2,3,,,3,10,10,3,0,{},1.97,{},5.69,0,0,1.97,1.97,1.97,0,0,0,0,0,1.97,0.18,19.34,19.34,11.39,11.39,13.34,12.32,16.08,11.39,0,0,11.39,13.620000000000001,16.34
LFRA,FRASER,1010305154,10305154,,POTENTIAL,,,None,Southern Railway of British Columbia,,,1,4,,,3,6,6,6,0,{},2.97,{},2.97,0,0,2.92,0,0,0,0,0,0,0,2.92,0.14,24.67,27.74,9.26,9.43,16.04,9.43,14.77,9.33,0,0,9.26,16.509999999999998,17.4
LFRA,FRASER,1010305155,10305155,,POTENTIAL,,,Vancouver Intermodal,Canadian National,,,2,10,,,,4,4,1,0,{},1.86,{},1.86,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0.96,,,,,,,,,,,,,
